merges weighted thresh splits
18.0 53.8333333333 0.01 233.833333333
18.0 52.0 0.0495925136308 232.0
18.1666666667 47.3333333333 0.0891850272616 229.0
18.1666666667 43.1666666667 0.128777540892 224.833333333
18.1666666667 35.8333333333 0.168370054523 217.5
18.1666666667 30.5 0.207962568154 212.166666667
18.1666666667 25.1666666667 0.247555081785 206.833333333
18.3333333333 18.3333333333 0.287147595416 201.666666667
18.6666666667 7.83333333333 0.326740109046 194.5
19.8333333333 10.1666666667 0.366332622677 188.166666667
20.6666666667 26.5 0.405925136308 180.166666667
21.1666666667 38.5 0.445517649939 173.166666667
21.8333333333 53.0 0.48511016357 165.333333333
23.8333333333 79.0 0.5247026772 159.333333333
26.1666666667 109.0 0.564295190831 152.666666667
27.5 129.666666667 0.603887704462 145.333333333
29.5 155.0 0.643480218093 140.0
35.0 217.5 0.683072731724 132.5
38.6666666667 264.333333333 0.722665245354 122.333333333
45.3333333333 338.833333333 0.762257758985 114.5
55.6666666667 452.0 0.801850272616 104.666666667
71.0 619.166666667 0.841442786247 90.8333333333
91.8333333333 843.5 0.881035299878 74.8333333333
128.833333333 1233.16666667 0.920627813508 55.1666666667
172.333333333 1703.5 0.960220327139 19.8333333333
198.333333333 1983.33333333 0.99981284077 0.0
